current,left,current_abb,left_abb,count,year
Arkansas,Vermont,AR,VT,0,Total 2016-2019
Arkansas,Virginia,AR,VA,3991,Total 2016-2019
Arkansas,Washington,AR,WA,5695,Total 2016-2019
Arkansas,West Virginia,AR,WV,280,Total 2016-2019
Arkansas,Wisconsin,AR,WI,2424,Total 2016-2019
Arkansas,Wyoming,AR,WY,1299,Total 2016-2019
California,Alabama,CA,AL,14661,Total 2016-2019
California,Alaska,CA,AK,14031,Total 2016-2019
California,Arizona,CA,AZ,122560,Total 2016-2019
California,Arkansas,CA,AR,13430,Total 2016-2019
California,California,CA,CA,NA,Total 2016-2019
California,Colorado,CA,CO,81418,Total 2016-2019
California,Connecticut,CA,CT,19300,Total 2016-2019
California,Delaware,CA,DE,4636,Total 2016-2019
California,District of Columbia,CA,DC,21275,Total 2016-2019
California,Florida,CA,FL,95121,Total 2016-2019
California,Foreign Country,CA,OR,877664,Total 2016-2019
California,Foreign Country4,CA,OR,316046,Total 2016-2019
California,Georgia,CA,GA,51145,Total 2016-2019
California,Hawaii,CA,HI,51848,Total 2016-2019
California,Idaho,CA,ID,17820,Total 2016-2019
California,Illinois,CA,IL,94906,Total 2016-2019
California,Indiana,CA,IN,23499,Total 2016-2019
California,Iowa,CA,IA,12406,Total 2016-2019
California,Kansas,CA,KS,16262,Total 2016-2019
California,Kentucky,CA,KY,12253,Total 2016-2019
California,Louisiana,CA,LA,19890,Total 2016-2019
California,Maine,CA,ME,8720,Total 2016-2019
California,Maryland,CA,MD,44757,Total 2016-2019
California,Massachusetts,CA,MA,64523,Total 2016-2019
California,Michigan,CA,MI,39721,Total 2016-2019
California,Minnesota,CA,MN,33556,Total 2016-2019
California,Mississippi,CA,MS,11220,Total 2016-2019
California,Missouri,CA,MO,30040,Total 2016-2019
California,Montana,CA,MT,8536,Total 2016-2019
California,Nebraska,CA,NE,10501,Total 2016-2019
California,Nevada,CA,NV,97290,Total 2016-2019
California,New Hampshire,CA,NH,3496,Total 2016-2019
California,New Jersey,CA,NJ,47372,Total 2016-2019
California,New Mexico,CA,NM,20639,Total 2016-2019
California,New York,CA,NY,147570,Total 2016-2019
California,North Carolina,CA,NC,53054,Total 2016-2019
California,North Dakota,CA,ND,7506,Total 2016-2019
California,Ohio,CA,OH,44159,Total 2016-2019
